Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,428.000000,430.000000,421.000000,429.700012,429.700012,632
2000-01-05,428.000000,428.000000,416.899994,419.899994,419.899994,571
2000-01-06,415.000000,417.000000,409.000000,412.000000,412.000000,494
2000-01-07,408.000000,417.000000,408.000000,414.000000,414.000000,130
2000-01-10,414.000000,415.000000,414.000000,415.000000,415.000000,24
2000-01-11,415.000000,417.000000,414.000000,413.000000,413.000000,152
2000-01-12,415.000000,415.000000,415.000000,417.399994,417.399994,1
2000-01-13,418.000000,418.000000,416.000000,419.899994,419.899994,31
2000-01-14,419.000000,428.000000,419.000000,425.399994,425.399994,5
2000-01-17,null,null,null,null,null,null
2000-01-18,428.000000,429.000000,427.500000,430.700012,430.700012,57
2000-01-19,437.000000,439.000000,437.000000,443.200012,443.200012,32
2000-01-20,447.000000,447.000000,435.000000,442.500000,442.500000,93
2000-01-21,441.399994,449.500000,441.399994,445.500000,445.500000,22
2000-01-24,455.000000,456.000000,450.000000,455.500000,455.500000,38
2000-01-25,459.000000,459.000000,454.000000,461.399994,461.399994,26
2000-01-26,450.000000,450.000000,450.000000,447.500000,447.500000,1286
2000-01-27,436.000000,446.000000,435.000000,445.600006,445.600006,1772
2000-01-28,456.000000,458.500000,445.000000,453.799988,453.799988,1858
2000-01-31,455.000000,458.500000,454.500000,455.000000,455.000000,515
2000-02-01,455.000000,455.500000,451.500000,452.899994,452.899994,613
2000-02-02,459.500000,468.000000,459.500000,466.200012,466.200012,1648
2000-02-03,474.000000,475.000000,468.000000,474.799988,474.799988,952
2000-02-04,477.000000,480.500000,472.500000,479.000000,479.000000,1419
2000-02-07,489.000000,490.000000,469.500000,474.299988,474.299988,1269
2000-02-08,484.000000,502.000000,479.000000,498.500000,498.500000,1716
2000-02-09,515.000000,532.000000,510.500000,529.599976,529.599976,2376
2000-02-10,511.000000,519.500000,505.000000,517.900024,517.900024,1708
2000-02-11,523.000000,528.000000,515.000000,526.400024,526.400024,1461
2000-02-14,516.400024,520.000000,514.000000,517.200012,517.200012,1679
2000-02-15,516.000000,537.500000,512.000000,530.500000,530.500000,1667
2000-02-16,531.200012,544.900024,529.000000,542.400024,542.400024,1438
2000-02-17,548.000000,555.000000,516.200012,529.400024,529.400024,2043
2000-02-18,510.000000,515.000000,489.399994,503.200012,503.200012,0
2000-02-21,null,null,null,null,null,null
2000-02-22,484.000000,518.000000,483.000000,510.000000,510.000000,1362
2000-02-23,492.000000,498.000000,470.000000,471.899994,471.899994,1562
