Date,Open,High,Low,Close,Adj Close,Volume
2000-09-15,491.000000,493.750000,490.000000,493.750000,493.750000,445
2000-09-18,483.250000,486.000000,482.500000,484.000000,484.000000,382
2000-09-19,485.000000,485.500000,483.500000,484.250000,484.250000,325
2000-09-20,483.500000,484.250000,483.250000,483.250000,483.250000,321
2000-09-21,486.750000,488.000000,486.000000,486.500000,486.500000,330
2000-09-22,490.000000,491.500000,489.500000,491.000000,491.000000,293
2000-09-25,495.750000,496.500000,494.000000,496.500000,496.500000,178
2000-09-26,494.500000,496.500000,494.500000,496.500000,496.500000,208
2000-09-27,493.250000,494.500000,492.500000,492.500000,492.500000,328
2000-09-28,495.250000,497.000000,495.250000,497.000000,497.000000,379
2000-09-29,498.000000,499.000000,497.500000,499.000000,499.000000,799
2000-10-02,488.250000,488.750000,486.000000,488.500000,488.500000,258
2000-10-03,489.250000,489.250000,487.750000,488.500000,488.500000,435
2000-10-04,488.250000,489.000000,487.000000,489.000000,489.000000,233
2000-10-05,485.500000,485.750000,485.250000,485.750000,485.750000,266
2000-10-06,484.000000,486.000000,484.000000,486.000000,486.000000,231
2000-10-09,484.000000,484.500000,483.250000,484.500000,484.500000,187
2000-10-10,482.750000,483.000000,482.500000,483.000000,483.000000,311
2000-10-11,485.000000,485.500000,485.000000,485.000000,485.000000,1017
2000-10-12,477.750000,479.500000,476.000000,478.000000,478.000000,422
2000-10-13,473.750000,474.500000,473.000000,473.250000,473.250000,372
2000-10-16,465.250000,466.000000,465.000000,465.000000,465.000000,509
2000-10-17,465.000000,467.750000,464.750000,467.750000,467.750000,167
2000-10-18,467.750000,468.000000,467.000000,468.000000,468.000000,302
2000-10-19,468.000000,468.000000,467.250000,468.000000,468.000000,309
2000-10-20,472.000000,474.250000,472.000000,473.250000,473.250000,136
2000-10-23,468.000000,468.500000,467.500000,468.500000,468.500000,142
2000-10-24,462.500000,464.000000,462.500000,463.500000,463.500000,178
