,Pearson,WD
Crude Oil,0.6826597942273395,0.569462531004082
Heating Oil,0.6249186900782985,0.6280422945576426
RBOB Gasoline,0.5686468229762403,0.5137488955366292
Soybean Oil,0.3507848753705412,0.7842590541655612
Copper,0.34325122370990163,0.8005722519856
Silver,0.2572337537907415,0.7632091385064004
Soybean,0.2442429589144987,0.8017466951291643
Corn,0.22228781349038876,0.7629985906682277
Wheat,0.2063434307731512,0.7173450039310376
Palladium,0.20391312875987946,0.7262050516876688
Gold,0.18046757336993313,0.787608346943892
Cotton,0.1697737936386642,0.7200310101671482
Soybean Meal,0.160576724207797,0.7598927057952988
Cocoa,0.1603093800029432,0.6730106880411262
Sugar,0.15634805787139816,0.6011274654178216
Coffee,0.15487216100235834,0.6243278899212088
Platinum,0.1284484742638321,0.8170132389559746
Natural Gas,0.11981497979633697,0.17167316160094248
Oat,0.11665998624340514,0.6221579084445508
Live Cattle,0.11564467485239209,0.7968383747167341
Lumber,0.0831897926874038,0.6133209844389327
Feeder Cattle,0.07413606653155672,0.7658391609242685
Lean Hogs,0.04180203813471297,0.8329941849851399
