,Pearson,WD
Gold,0.7850308675244266,0.4179628691071674
Live Cattle,0.768110421572509,0.042523496999281596
Soybean,0.7643716079959654,0.4198091035090026
Soybean Meal,0.7579639318223446,0.129023055778419
Feeder Cattle,0.7353753893440641,0.05194938327620602
Brent Crude Oil,0.714723789346036,0.02156196387749365
Coffee,0.712210013419378,0.05630211288100284
Soybean Oil,0.7092215025778942,0.014345828576423969
Oat,0.7074663386721394,0.1096470414952071
Lean Hogs,0.7034623138580893,0.02866880442715214
Sugar,0.6979538645147798,0.005664074155978471
Silver,0.697133703200616,0.006008416993722676
Copper,0.6913006509230427,0.000288818737121721
Wheat,0.6861472795253124,0.23946144904393274
Corn,0.6765176240770213,0.1703708664670266
RBOB Gasoline,0.664585780772789,0.0
Heating Oil,0.6594153257687959,2.212415944868873e-05
Crude Oil,0.6441701961714412,0.027625847491422273
Cotton,0.5868286276968154,0.030893076200244618
Platinum,0.5411261204160188,0.43364801441669354
Palladium,0.31020681821571566,0.23349120571203064
Lumber,0.2309688727777564,0.13254018803110446
Natural Gas,,0.0013299821112864318
