,Pearson,WD
Sugar,0.20798467139266247,0.9568985451509494
Silver,0.18242381704694782,0.8307268403463207
Soybean Oil,0.17935750370469175,0.7262172220829387
Copper,0.17250833210023853,0.800198620850808
Cocoa,0.16754519409707744,0.9317496403648198
Brent Crude Oil,0.15487216100235834,0.6243278899212088
Wheat,0.15302397502988777,0.879662782687856
Soybean,0.15039419320974895,0.7544805310186865
Corn,0.147406547949296,0.8331694386770294
Cotton,0.1447150844983652,0.8939130985096134
Crude Oil,0.13860179977320694,0.9259687026115234
Palladium,0.1271104274280744,0.8777788055000451
Gold,0.1269311176594057,0.5598138416339485
Soybean Meal,0.12296133698300893,0.8306404305399031
Heating Oil,0.11253385696669549,0.962595507176882
Platinum,0.10746969006851484,0.6091416707031809
RBOB Gasoline,0.09890856273567913,0.8703353917528533
Oat,0.0689607229864477,0.8798088274310977
Lumber,0.06016530709615673,0.9488892080236982
Live Cattle,0.04816780846540628,0.5199119837014066
Natural Gas,0.03857603228762409,0.5402742720278069
Feeder Cattle,0.0374744449492985,0.45621822005535084
Lean Hogs,0.026288977480404027,0.6978407284711793
