,Pearson,WD
Silver,0.43171911429447696,0.925414949626734
Brent Crude Oil,0.34325122370990163,0.8005722519856
Gold,0.3322182197595361,0.7570131902743937
Crude Oil,0.3308270347293678,0.7431985746033061
Palladium,0.3254436029435694,0.8935297310586052
Soybean Oil,0.3193803908398535,0.9105597651600528
Heating Oil,0.28219508309418534,0.80394223443589
RBOB Gasoline,0.2754799772274857,0.6871806792541009
Soybean,0.2430412885110015,0.9415760175058965
Platinum,0.21550210559868105,0.8056813839199868
Cotton,0.19837907066178043,0.9002124951014159
Corn,0.19789637946306554,0.9519378920388576
Wheat,0.18664684050008384,0.906466861230719
Sugar,0.18253289806273523,0.777256208727147
Soybean Meal,0.1783747959850307,0.9423427524079127
Coffee,0.17250833210023853,0.800198620850808
Cocoa,0.15051896086232378,0.853591361940253
Oat,0.11178604501859055,0.7871239652121426
Lumber,0.10833135390610407,0.7901020609347351
Live Cattle,0.10676440198266408,0.7174788782790087
Natural Gas,0.07836977471497884,0.3456014974454341
Feeder Cattle,0.06422027155381556,0.6541039789890295
Lean Hogs,0.04672996642509352,0.8738124736815203
