,Pearson,WD
Soybean Oil,0.23493796314351165,0.8309142644334803
Soybean,0.21344616374607872,0.8534136741693097
Copper,0.19837907066178043,0.9002124951014159
Wheat,0.1923286723611367,0.9535906317165369
Corn,0.18638770445500302,0.9383362582849966
Soybean Meal,0.1702567588534357,0.9273634299094766
Brent Crude Oil,0.1697737936386642,0.7200310101671482
Crude Oil,0.16787134235727452,0.8294525999615415
Sugar,0.15549647536067612,0.869926466471778
Silver,0.1507944454305748,0.9160753882964611
Coffee,0.1447150844983652,0.8939130985096134
Heating Oil,0.1402131271174058,0.890237639138044
RBOB Gasoline,0.12800682299083732,0.7728626960346419
Palladium,0.12237166747087329,0.9472936692037884
Cocoa,0.11075780229431077,0.9355954852701706
Gold,0.10941664918508621,0.6644792409567878
Oat,0.09158601629985545,0.8573933934226319
Platinum,0.07027492385024388,0.7139677192435854
Lumber,0.053659553354699005,0.878770692714558
Live Cattle,0.04620389869642172,0.6253684587168022
Lean Hogs,0.028839905300217836,0.7885296458658384
Natural Gas,0.021696819299308636,0.43724213975021475
Feeder Cattle,0.020630558297330858,0.5609152624058924
