,Pearson,WD
Live Cattle,0.5109309486610286,0.9326575518519691
Lean Hogs,0.07552004291999856,0.6865015711980293
Brent Crude Oil,0.07413606653155672,0.7658391609242685
Copper,0.06422027155381556,0.6541039789890295
Crude Oil,0.05958698552685504,0.39778936940313947
RBOB Gasoline,0.04575618376030336,0.3420757339356867
Palladium,0.040827221367033935,0.5599209411123254
Heating Oil,0.0378179505114486,0.4585451996309936
Coffee,0.0374744449492985,0.45621822005535084
Sugar,0.027468698206251228,0.43136018771617646
Cocoa,0.02644184856746196,0.5114535589886888
Natural Gas,0.020886129930190248,0.0
Cotton,0.020630558297330858,0.5609152624058924
Lumber,0.015119016562111174,0.45539306725603834
Silver,0.011065042904172701,0.5984292887864412
Platinum,0.010148390514820402,0.8274237950700161
Gold,,0.8952506249497971
Soybean Oil,,0.7293413625487728
Soybean,,0.6934472157786739
Corn,,0.6188840721168941
Soybean Meal,,0.602276350731319
Wheat,,0.5762730841972286
Oat,,0.4504847468436083
