,Pearson,WD
Silver,0.7823805831778875,0.7018618270684196
Palladium,0.36167744048394895,0.6589185873578801
Platinum,0.3407316960275036,0.9145260969785773
Copper,0.3322182197595361,0.7570131902743937
Crude Oil,0.21323044681478553,0.5014263703256554
Soybean Oil,0.20748637254212135,0.8294002672618801
Heating Oil,0.199840648901159,0.5618487317231089
Brent Crude Oil,0.18046757336993313,0.787608346943892
RBOB Gasoline,0.15923681807181964,0.44551557445482715
Cocoa,0.15610035055931598,0.6151197688598531
Corn,0.15100139480524857,0.720527562294168
Wheat,0.14088229360673554,0.6779238766116645
Soybean,0.1329770433744375,0.7970720463059198
Coffee,0.1269311176594057,0.5598138416339485
Sugar,0.11426058818383825,0.5346345108596435
Cotton,0.10941664918508621,0.6644792409567878
Soybean Meal,0.09918721053750965,0.7054241017639771
Oat,0.0885459895956763,0.5499278295560487
Natural Gas,0.06718579151594083,0.10269014417050226
Lumber,0.035419313607404045,0.5567663746583162
Live Cattle,0.03343217957600037,0.950366694009488
Feeder Cattle,,0.8952506249497971
Lean Hogs,,0.7809718304031078
