,Pearson,WD
Live Cattle,0.8761398660628822,0.9860281380744087
Feeder Cattle,0.8394545381041487,0.9765153440768368
RBOB Gasoline,0.793981928825693,0.971285372922656
Soybean,0.7760746003518156,0.6088597009181496
Heating Oil,0.7610419589092636,0.9713051421518291
Oat,0.7503701096968354,0.9190217629319453
Crude Oil,0.7479719342455462,0.9951717014286142
Soybean Meal,0.738704667435099,0.8996457486487331
Copper,0.7382278091489002,0.9715690083906702
Gold,0.7271487613501715,0.6107059353199848
Soybean Oil,0.7107648931999221,0.9844636121539788
Cocoa,0.7034623138580893,0.02866880442715214
Silver,0.6927369641204704,0.9770215061632324
Corn,0.6814522567882858,0.8582979379601255
Wheat,0.6812062914326941,0.7892073553832194
Coffee,0.6612213836815373,0.9723666915461493
Brent Crude Oil,0.6194043305031405,0.9887328876383534
Sugar,0.5669969732761867,0.9764012524166921
Platinum,0.5459276017604234,0.5937812114706056
Cotton,0.5169815003758421,0.9960423039940705
Lumber,0.4578336767314469,0.8961286163960478
Natural Gas,0.1958375280761515,0.9724969148289039
Palladium,0.17785386052481256,0.7951775987151215
