,Pearson,WD
Live Cattle,0.09368349546439649,0.751054564750154
Soybean,0.0853837195367018,0.8964457577653209
Soybean Meal,0.08183957393723788,0.8427475397545962
Feeder Cattle,0.07552004291999856,0.6865015711980293
Copper,0.04672996642509352,0.8738124736815203
Brent Crude Oil,0.04180203813471297,0.8329941849851399
Cocoa,0.03866206807717247,0.7360545525797586
Crude Oil,0.03474959427620202,0.6623944522470201
Wheat,0.0342464063589485,0.7850793388067656
Cotton,0.028839905300217836,0.7885296458658384
Coffee,0.026288977480404027,0.6978407284711793
Sugar,0.026116520423042657,0.6839019747683366
Palladium,0.026066831378869424,0.7982574428052275
Corn,0.025672210862278867,0.8367621393607622
Soybean Oil,0.023786555304166537,0.8688372160951043
Lumber,0.02114954163664789,0.7075746106082033
Heating Oil,0.020303451508805363,0.7054959070960707
Silver,0.0196893714756994,0.8437029157832987
RBOB Gasoline,0.016652248892808856,0.6204236271185615
Platinum,0.01639591855661898,0.8451499757809136
Natural Gas,0.007562998049361045,0.2916574374502534
Gold,,0.7809718304031078
Oat,,0.7483636903559356
