,Pearson,WD
Feeder Cattle,0.5109309486610286,0.9326575518519691
Brent Crude Oil,0.11564467485239209,0.7968383747167341
Copper,0.10676440198266408,0.7174788782790087
Lean Hogs,0.09368349546439649,0.751054564750154
Crude Oil,0.08107987876165645,0.46226934058364344
Soybean Oil,0.07665889293217011,0.7891892812894776
Silver,0.07477068308989343,0.6629092599669453
Heating Oil,0.07301284275227557,0.5229740551513633
Corn,0.06398572987872576,0.6833129276372638
Palladium,0.06273452517739977,0.6237631835806763
Soybean,0.0573021830101091,0.7579588299868801
Sugar,0.05110941482544054,0.4958401588966804
Coffee,0.04816780846540628,0.5199119837014066
Cotton,0.04620389869642172,0.6253684587168022
Platinum,0.0448321188430001,0.8918210075626833
Wheat,0.04302073037068674,0.6380658321020949
Soybean Meal,0.03991741858816553,0.6666857336192564
RBOB Gasoline,0.03819802506896552,0.40655570511619066
Oat,0.03643575949175346,0.5149647180241124
Gold,0.03343217957600037,0.950366694009488
Cocoa,0.032127959028159736,0.5738475244198982
Natural Gas,0.01593742466545283,0.06447997118050397
Lumber,0.01138046734732803,0.5195639103966819
