,Pearson,WD
Feeder Cattle,0.48686057275779826,0.9194091952451016
Live Cattle,0.47827166799975623,0.9099833089681773
Lean Hogs,0.4578336767314469,0.8961286163960478
Soybean Meal,0.4143505939763422,0.9880230776990215
Palladium,0.3627009106660109,0.8853181120720204
Soybean,0.3557897662937953,0.7121032758647485
Gold,0.354903847367867,0.7138606001557392
RBOB Gasoline,0.3383156898959295,0.8674598119688957
Copper,0.3161801870843742,0.8677486307060172
Heating Oil,0.3124743683276942,0.8674819361283442
Crude Oil,0.28059191844590614,0.8950856594603178
Oat,0.25211265283885764,0.9771068534641025
Cotton,0.24738906883087916,0.8974197462152803
Corn,0.23920069449780082,0.9604493162378196
Silver,0.23477187528146576,0.8734682289626182
Cocoa,0.2309688727777564,0.13254018803110446
Platinum,0.22254046634563454,0.6783976958529818
Wheat,0.22228525685254774,0.8923620202189738
Soybean Oil,0.19533984576083355,0.8817999847706951
Sugar,0.1701261993358337,0.8730176710307919
Natural Gas,0.1505294035697942,0.8687897940801818
Brent Crude Oil,0.14997281806258328,0.8890217758463893
Coffee,0.12842017231883915,0.9225376979799365
