,Pearson,WD
Crude Oil,0.3532369883349489,0.973704134619864
Heating Oil,0.28646362684971016,0.9986921420481625
RBOB Gasoline,0.27309565001361136,0.9986700178887139
Wheat,0.2704298380864412,0.7618665512886366
Lean Hogs,0.1958375280761515,0.9724969148289039
Copper,0.19159899449885007,0.9989588366258354
Soybean Oil,0.15914671960919166,0.9869841535348624
Lumber,0.1505294035697942,0.8687897940801818
Soybean,0.09778962667158526,0.5815199003751073
Oat,0.09094752099560993,0.8916774925405022
Corn,0.05911636762031295,0.8309591156442596
Live Cattle,0.039391246193585486,0.9586330811429387
Feeder Cattle,0.020887627554016863,0.9492010657809902
Sugar,,0.9956659079553078
Silver,,0.9953202551215875
Brent Crude Oil,,0.978757743761822
Cotton,,0.9704369059110416
Coffee,,0.9450278692302834
Soybean Meal,,0.8723069263328672
Palladium,,0.7677203054908799
Gold,,0.583365131225402
Platinum,,0.567441355415566
Cocoa,,0.0013299821112864318
