,Pearson,WD
Heating Oil,0.2936219385814904,0.5399797484622706
Crude Oil,0.24811604295095188,0.5981846638415123
RBOB Gasoline,0.22194055435800705,0.6558333921569105
Soybean Oil,0.11988325515216906,0.26999900202758775
Brent Crude Oil,0.11981497979633697,0.17167316160094248
Corn,0.09577595173071263,0.37897393831556847
Soybean,0.0935130813530919,0.30321322775921133
Copper,0.07836977471497884,0.3456014974454341
Wheat,0.0748993760435156,0.4234445626325051
Silver,0.07132295509265595,0.3977151299919919
Gold,0.06718579151594083,0.10269014417050226
Soybean Meal,0.06197838397160111,0.39620478393897274
Sugar,0.05907267798121804,0.5667339283845262
Oat,0.053100859725907154,0.49691723887808437
Cocoa,0.04657599030092491,0.4834324409188161
Palladium,0.042004717885003005,0.4400790588876746
Coffee,0.03857603228762409,0.5402742720278069
Platinum,0.023080436529138368,0.1578037791511394
Cotton,0.021696819299308636,0.43724213975021475
Feeder Cattle,0.020886129930190248,0.0
Live Cattle,0.01593742466545283,0.06447997118050397
Lean Hogs,0.007562998049361045,0.2916574374502534
Lumber,,0.5443148432574791
