,Pearson,WD
Silver,0.4244605235236375,0.9306664751857812
Platinum,0.38007481536264576,0.7124500709534042
Gold,0.36167744048394895,0.6589185873578801
Copper,0.3254436029435694,0.8935297310586052
Brent Crude Oil,0.20391312875987946,0.7262050516876688
Crude Oil,0.19377075973445218,0.8377832355239234
Soybean Oil,0.17701826383991578,0.8138379828300063
Heating Oil,0.1693817892525625,0.8909277005498584
RBOB Gasoline,0.1663821323649619,0.7821547928233614
Soybean,0.13500603815005094,0.8470692471150078
Coffee,0.1271104274280744,0.8777788055000451
Cotton,0.12237166747087329,0.9472936692037884
Sugar,0.11874957438272744,0.8701297120727887
Cocoa,0.11291837289824022,0.9209216396930139
Corn,0.1114949005394597,0.9168713321471255
Wheat,0.1113777486526138,0.9255220491051108
Soybean Meal,0.09135198787985653,0.9267829020550928
Oat,0.08054530635546422,0.8901281055806134
Live Cattle,0.06273452517739977,0.6237631835806763
Lumber,0.04327650466165348,0.8594550583813862
Natural Gas,0.042004717885003005,0.4400790588876746
Feeder Cattle,0.040827221367033935,0.5599209411123254
Lean Hogs,0.026066831378869424,0.7982574428052275
