,Pearson,WD
Palladium,0.38007481536264576,0.7124500709534042
Silver,0.3518905594255501,0.7523361073720951
Gold,0.3407316960275036,0.9145260969785773
Copper,0.21550210559868105,0.8056813839199868
Soybean Oil,0.1423372786226754,0.8756416840906156
Crude Oil,0.12949273601186084,0.5517083583840635
Brent Crude Oil,0.1284484742638321,0.8170132389559746
Heating Oil,0.11882356990692144,0.6121161153071928
Coffee,0.10746969006851484,0.6091416707031809
Cocoa,0.10382240268094997,0.6620475959818221
Soybean,0.10193009888565271,0.8501775660669906
RBOB Gasoline,0.10131311963532946,0.4981318443260401
Sugar,0.08839964641424088,0.5871363790153176
Corn,0.0860574314733132,0.775159249622109
Wheat,0.0839124502391656,0.726407080249152
Soybean Meal,0.08054321550844136,0.7560638994433259
Cotton,0.07027492385024388,0.7139677192435854
Oat,0.05432224655576363,0.621646751843207
Live Cattle,0.0448321188430001,0.8918210075626833
Lumber,0.029691493052769,0.6090589120153445
Natural Gas,0.023080436529138368,0.1578037791511394
Lean Hogs,0.01639591855661898,0.8451499757809136
Feeder Cattle,0.010148390514820402,0.8274237950700161
