,Pearson,WD
Gold,0.7823805831778875,0.7018618270684196
Copper,0.43171911429447696,0.925414949626734
Palladium,0.4244605235236375,0.9306664751857812
Platinum,0.3518905594255501,0.7523361073720951
Soybean Oil,0.2717458886674238,0.839608794814438
Brent Crude Oil,0.2572337537907415,0.7632091385064004
Crude Oil,0.2543912001785714,0.7957941548025597
Heating Oil,0.22951442656408386,0.8441580885664005
Soybean,0.20024059124334945,0.8971394702957163
Corn,0.19666961310527994,0.9238096744906081
RBOB Gasoline,0.1965703126649054,0.7415068896607624
Cocoa,0.18368353506159507,0.8788644047581378
Coffee,0.18242381704694782,0.8307268403463207
Wheat,0.1689815622937542,0.894233179905217
Sugar,0.15639338572816142,0.8251321096406568
Soybean Meal,0.15438301067439306,0.9537731876455884
Cotton,0.1507944454305748,0.9160753882964611
Oat,0.11217541825670382,0.8367572712026544
Live Cattle,0.07477068308989343,0.6629092599669453
Natural Gas,0.07132295509265595,0.3977151299919919
Lumber,0.06391907329394104,0.8055779355601912
Lean Hogs,0.0196893714756994,0.8437029157832987
Feeder Cattle,0.011065042904172701,0.5984292887864412
