,Pearson,WD
Soybean Meal,0.798521447986467,0.9026197992858411
Soybean Oil,0.6353074848654758,0.9354421382897672
Corn,0.5205256198504657,0.9029021524561074
Wheat,0.346308637739115,0.8554570835351589
Brent Crude Oil,0.2442429589144987,0.8017466951291643
Copper,0.2430412885110015,0.9415760175058965
Oat,0.22964571227209404,0.7447235251306497
Crude Oil,0.22299693456013017,0.7012557413839686
Heating Oil,0.21345976266734143,0.7600983854753633
Cotton,0.21344616374607872,0.8534136741693097
Silver,0.20024059124334945,0.8971394702957163
RBOB Gasoline,0.17978859895726404,0.6470828779577105
Sugar,0.15785583226567892,0.7351527262902444
Coffee,0.15039419320974895,0.7544805310186865
Palladium,0.13500603815005094,0.8470692471150078
Gold,0.1329770433744375,0.7970720463059198
Platinum,0.10193009888565271,0.8501775660669906
Natural Gas,0.0935130813530919,0.30321322775921133
Lean Hogs,0.0853837195367018,0.8964457577653209
Cocoa,0.08109558639640382,0.8075446714358389
Lumber,0.07371599652933351,0.7437584127857306
Live Cattle,0.0573021830101091,0.7579588299868801
Feeder Cattle,,0.6934472157786739
