,Feeder Cattle,Sugar,Brent Crude Oil,Wheat,Coffee,Corn,Gold,RBOB Gasoline,Live Cattle,Lumber,Soybean,Oat,Palladium,Soybean Meal,Heating Oil,Crude Oil,Silver,Natural Gas,Platinum,Lean Hogs,Copper,Cocoa,Soybean Oil,Cotton
Feeder Cattle,,0.9530797442912955,0.9696125806012877,0.8124879342322733,0.9935919470238523,0.8815785168091794,0.6339865141690386,0.9480000059627295,0.9904307218719512,0.9194091952451016,0.6321402797672034,0.942302341780999,0.8184581775641754,0.922926327497787,0.9480201482256735,0.9736657450523317,0.9537140711206369,0.9492010657809902,0.616551627092609,0.9765153440768368,0.9482840373349674,0.05194938327620602,0.9610797530882925,0.9744451749833088
Sugar,0.9530797442912955,,0.9809470577042398,0.7660679956889413,0.9493619612749755,0.8351711187338449,0.5875665756257067,0.9943359258440216,0.9625220953310711,0.8730176710307919,0.5857237668839617,0.8958709267855832,0.7717019452089641,0.8765223393775106,0.9943580500034702,0.9779150010577632,0.9988776927004942,0.9956659079553078,0.571214739931912,0.9764012524166921,0.9946247445811432,0.005664074155978471,0.9912142900469415,0.9747709979557339
Brent Crude Oil,0.9696125806012877,0.9809470577042398,,0.782100514833561,0.9652598509964909,0.8511910974104672,0.6035990947703264,0.9780646033455845,0.979038466878212,0.8890217758463893,0.6017528603684912,0.9119149223822868,0.788070758165463,0.8925389080990748,0.9780866531024444,0.9916677816797144,0.9819962305962984,0.978757743761822,0.5879139494608001,0.9887328876383534,0.9782804348117767,0.02156196387749365,0.9850145186463847,0.9865758304992456
Wheat,0.8124879342322733,0.7660679956889413,0.782100514833561,,0.8153782112630148,0.9305289139463272,0.819449092913944,0.7605385509560674,0.803062047955349,0.8923620202189738,0.8196523455349302,0.8701855924512742,0.9543014931022556,0.8891574769991297,0.7605603782315185,0.7881289227423072,0.7665453858641358,0.7618665512886366,0.7751615311806245,0.7892073553832194,0.7608267698591256,0.23946144904393274,0.7748073699084148,0.7903126750424303
Coffee,0.9935919470238523,0.9493619612749755,0.9652598509964909,0.8153782112630148,,0.8845739586592073,0.6368767911997801,0.9436978871189972,0.9858611892352714,0.9225376979799365,0.635059336268567,0.9450963273337286,0.8183548202982636,0.9259503230591918,0.9437200112784458,0.9713237346104193,0.9497063041127198,0.9450278692302834,0.6152466925413764,0.9723666915461493,0.9439867058561188,0.05630211288100284,0.958043715695421,0.9745796988848925
Corn,0.8815785168091794,0.8351711187338449,0.8511910974104672,0.9305289139463272,0.8845739586592073,,0.7520274938830925,0.8296291335329735,0.8721526305322551,0.9604493162378196,0.7502857961000517,0.9392761750281804,0.9238493429931142,0.9585659294246862,0.8296512576924221,0.8572549810243957,0.8356375505266961,0.8309591156442596,0.716080796096419,0.8582979379601255,0.829917952270095,0.1703708664670266,0.8439294744475365,0.859485512723489
Gold,0.6339865141690386,0.5875665756257067,0.6035990947703264,0.819449092913944,0.6368767911997801,0.7520274938830925,,0.5820371308928327,0.6245606278921143,0.7138606001557392,0.935695246136367,0.6916841723880396,0.8155283366048633,0.7106560569358951,0.582058958168284,0.6096275026790725,0.5880439658009012,0.583365131225402,0.9359785747960796,0.6107059353199848,0.5823253497958909,0.4179628691071674,0.5963059498451801,0.6118112549791956
RBOB Gasoline,0.9480000059627295,0.9943359258440216,0.9780646033455845,0.7605385509560674,0.9436978871189972,0.8296291335329735,0.5820371308928327,,0.9574278160079089,0.8674598119688957,0.5801908964909974,0.8903529585047931,0.7664774768052696,0.8709769442215811,0.999966587063599,0.9723741525085778,0.9939915830062774,0.9986700178887139,0.5662821385335117,0.971285372922656,0.9997024412359269,0.0,0.9856541714235761,0.9691069237997555
Live Cattle,0.9904307218719512,0.9625220953310711,0.979038466878212,0.803062047955349,0.9858611892352714,0.8721526305322551,0.6245606278921143,0.9574278160079089,,0.9099833089681773,0.622714393490279,0.9328764555040747,0.809032291287251,0.9135004412208627,0.9574478046363781,0.9831580714676277,0.9631507137739311,0.9586330811429387,0.6072331730389444,0.9860281380744087,0.9577116853238485,0.042523496999281596,0.9705473597821503,0.9836342519472289
Lumber,0.9194091952451016,0.8730176710307919,0.8890217758463893,0.8923620202189738,0.9225376979799365,0.9604493162378196,0.7138606001557392,0.8674598119688957,0.9099833089681773,,0.7121032758647485,0.9771068534641025,0.8853181120720204,0.9880230776990215,0.8674819361283442,0.8950856594603178,0.8734682289626182,0.8687897940801818,0.6783976958529818,0.8961286163960478,0.8677486307060172,0.13254018803110446,0.8817999847706951,0.8974197462152803
