,Feeder Cattle,Sugar,Brent Crude Oil,Wheat,Coffee,Corn,Gold,RBOB Gasoline,Live Cattle,Lumber,Soybean,Oat,Palladium,Soybean Meal,Heating Oil,Crude Oil,Silver,Natural Gas,Platinum,Lean Hogs,Copper,Cocoa,Soybean Oil,Cotton
Feeder Cattle,,0.43136018771617646,0.7658391609242685,0.5762730841972286,0.45621822005535084,0.6188840721168941,0.8952506249497971,0.3420757339356867,0.9326575518519691,0.45539306725603834,0.6934472157786739,0.4504847468436083,0.5599209411123254,0.602276350731319,0.4585451996309936,0.39778936940313947,0.5984292887864412,0.0,0.8274237950700161,0.6865015711980293,0.6541039789890295,0.5114535589886888,0.7293413625487728,0.5609152624058924
Sugar,0.43136018771617646,,0.6011274654178216,0.8548047503486816,0.9568985451509494,0.8097864582445908,0.5346345108596435,0.8966441352082234,0.4958401588966804,0.9288214432628343,0.7351527262902444,0.8760080129882464,0.8701297120727887,0.819542247093101,0.9630689355528887,0.9466182122662979,0.8251321096406568,0.5667339283845262,0.5871363790153176,0.6839019747683366,0.777256208727147,0.9128891788147494,0.7013591897437643,0.869926466471778
Brent Crude Oil,0.7658391609242685,0.6011274654178216,,0.7173450039310376,0.6243278899212088,0.7629985906682277,0.787608346943892,0.5137488955366292,0.7968383747167341,0.6133209844389327,0.8017466951291643,0.6221579084445508,0.7262050516876688,0.7598927057952988,0.6280422945576426,0.569462531004082,0.7632091385064004,0.17167316160094248,0.8170132389559746,0.8329941849851399,0.8005722519856,0.6730106880411262,0.7842590541655612,0.7200310101671482
Wheat,0.5762730841972286,0.8548047503486816,0.7173450039310376,,0.879662782687856,0.943755735298771,0.6779238766116645,0.7595665392020602,0.6380658321020949,0.8760384389764211,0.8554570835351589,0.8390586929482299,0.9255220491051108,0.9236405059963537,0.8784652157932785,0.8155649619188332,0.894233179905217,0.4234445626325051,0.726407080249152,0.7850793388067656,0.906466861230719,0.9280705298746693,0.8464668125491379,0.9535906317165369
Coffee,0.45621822005535084,0.9568985451509494,0.6243278899212088,0.879662782687856,,0.8331694386770294,0.5598138416339485,0.8703353917528533,0.5199119837014066,0.9488892080236982,0.7544805310186865,0.8798088274310977,0.8777788055000451,0.8306404305399031,0.962595507176882,0.9259687026115234,0.8307268403463207,0.5402742720278069,0.6091416707031809,0.6978407284711793,0.800198620850808,0.9317496403648198,0.7262172220829387,0.8939130985096134
Corn,0.6188840721168941,0.8097864582445908,0.7629985906682277,0.943755735298771,0.8331694386770294,,0.720527562294168,0.7198423690404617,0.6833129276372638,0.8295207541750542,0.9029021524561074,0.8175949838498858,0.9168713321471255,0.9511285607533961,0.8368838433134631,0.7750959635667047,0.9238096744906081,0.37897393831556847,0.775159249622109,0.8367621393607622,0.9519378920388576,0.8865865205570146,0.8874104563168002,0.9383362582849966
Gold,0.8952506249497971,0.5346345108596435,0.787608346943892,0.6779238766116645,0.5598138416339485,0.720527562294168,,0.44551557445482715,0.950366694009488,0.5567663746583162,0.7970720463059198,0.5499278295560487,0.6589185873578801,0.7054241017639771,0.5618487317231089,0.5014263703256554,0.7018618270684196,0.10269014417050226,0.9145260969785773,0.7809718304031078,0.7570131902743937,0.6151197688598531,0.8294002672618801,0.6644792409567878
RBOB Gasoline,0.3420757339356867,0.8966441352082234,0.5137488955366292,0.7595665392020602,0.8703353917528533,0.7198423690404617,0.44551557445482715,,0.40655570511619066,0.8591678370530118,0.6470828779577105,0.8258197369734177,0.7821547928233614,0.7362943093665796,0.8803613633763597,0.9408104996434075,0.7415068896607624,0.6558333921569105,0.4981318443260401,0.6204236271185615,0.6871806792541009,0.8233880919984519,0.6095359915099322,0.7728626960346419
Live Cattle,0.9326575518519691,0.4958401588966804,0.7968383747167341,0.6380658321020949,0.5199119837014066,0.6833129276372638,0.950366694009488,0.40655570511619066,,0.5195639103966819,0.7579588299868801,0.5149647180241124,0.6237631835806763,0.6666857336192564,0.5229740551513633,0.46226934058364344,0.6629092599669453,0.06447997118050397,0.8918210075626833,0.751054564750154,0.7174788782790087,0.5738475244198982,0.7891892812894776,0.6253684587168022
Lumber,0.45539306725603834,0.9288214432628343,0.6133209844389327,0.8760384389764211,0.9488892080236982,0.8295207541750542,0.5567663746583162,0.8591678370530118,0.5195639103966819,,0.7437584127857306,0.8600830507773235,0.8594550583813862,0.8176083712846827,0.9281995360645323,0.9055151363205974,0.8055779355601912,0.5443148432574791,0.6090589120153445,0.7075746106082033,0.7901020609347351,0.9025796369814499,0.7253920692836262,0.878770692714558
