,Pearson,WD
Corn,0.5446442445261676,0.943755735298771
Soybean,0.346308637739115,0.8554570835351589
Soybean Oil,0.3417184907316494,0.8464668125491379
Soybean Meal,0.3064860285699877,0.9236405059963537
Oat,0.26393898091517864,0.8390586929482299
Brent Crude Oil,0.2063434307731512,0.7173450039310376
Cotton,0.1923286723611367,0.9535906317165369
Copper,0.18664684050008384,0.906466861230719
Crude Oil,0.17767919830124856,0.8155649619188332
Silver,0.1689815622937542,0.894233179905217
Heating Oil,0.16081240811601694,0.8784652157932785
Sugar,0.15485502403861662,0.8548047503486816
Coffee,0.15302397502988777,0.879662782687856
Gold,0.14088229360673554,0.6779238766116645
RBOB Gasoline,0.14065924957808795,0.7595665392020602
Palladium,0.1113777486526138,0.9255220491051108
Cocoa,0.08411678909169647,0.9280705298746693
Platinum,0.0839124502391656,0.726407080249152
Natural Gas,0.0748993760435156,0.4234445626325051
Lumber,0.04814278391251231,0.8760384389764211
Live Cattle,0.04302073037068674,0.6380658321020949
Lean Hogs,0.0342464063589485,0.7850793388067656
Feeder Cattle,,0.5762730841972286
